,Zone,Disponibilité alimentaire volailles (Kcal/personne/jour),Disponibilité de protéines (g/personne/jour),Importations volailles (milliers tonnes),Production volailles (milliers tonnes),Disponibilité alimentaire totale (Kcal/personne/jour),PIB / Habitant ($),Stabilité politique (indice),Evolution Pop % (2000-2017)
38,Costa Rica,92.0,7.93,17.0,133.0,2997.0,20347.0,0.61,25.0
39,Croatie,37.0,4.06,24.0,61.0,3095.0,27154.1,0.69,-6.0
41,Côte d'Ivoire,8.0,0.86,7.0,58.0,2851.0,4830.8,-1.09,49.0
42,Danemark,112.0,12.97,133.0,173.0,3325.0,55356.7,0.87,7.0
43,Djibouti,9.0,0.92,3.0,0.0,2765.0,4905.0,-0.74,32.0
44,Dominique,150.0,11.52,4.0,0.0,2951.0,11341.3,1.2,3.0
45,El Salvador,71.0,6.25,16.0,136.0,2655.0,8454.1,-0.26,9.0
46,Espagne,105.0,12.47,205.0,1515.0,3306.0,39528.9,0.28,14.0
47,Estonie,86.0,7.27,21.0,20.0,3156.0,33821.9,0.65,-6.0
48,Eswatini,22.0,2.23,2.0,6.0,2502.0,8408.0,-0.27,12.0
49,Fidji,97.0,9.44,3.0,23.0,2770.0,13429.3,0.62,8.0
50,Finlande,68.0,7.87,16.0,129.0,3340.0,47570.1,1.08,6.0
52,Fédération de Russie,104.0,10.44,226.0,4444.0,3353.0,25926.4,-0.64,-1.0
53,Gabon,99.0,10.59,76.0,4.0,2661.0,15006.8,-0.1,68.0
54,Gambie,12.0,1.24,16.0,2.0,2529.0,2072.6,-0.08,68.0
55,Ghana,16.0,2.26,151.0,60.0,2992.0,5115.9,0.09,51.0
56,Grenade,192.0,15.5,7.0,1.0,0.0,16217.5,1.01,8.0
57,Grèce,53.0,6.32,79.0,246.0,3357.0,28604.9,-0.07,-5.0
58,Guatemala,71.0,6.11,129.0,235.0,2511.0,8322.2,-0.65,45.0
59,Guinée,14.0,1.42,37.0,13.0,0.0,2417.8,-0.7,46.0
60,Guinée-Bissau,7.0,0.74,4.0,3.0,0.0,1925.2,-0.5,52.0
61,Guyana,165.0,12.33,0.0,31.0,2853.0,12005.4,-0.04,4.0
62,Géorgie,51.0,5.19,51.0,22.0,2819.0,13589.7,-0.37,-8.0
63,Haïti,31.0,2.75,89.0,9.0,2132.0,3153.3,-0.67,30.0
64,Honduras,93.0,6.98,12.0,193.0,2666.0,5562.0,-0.56,43.0
65,Hongrie,104.0,9.8,58.0,493.0,3296.0,29501.1,0.81,-5.0
66,Inde,7.0,0.75,0.0,3545.0,2552.0,6182.9,-0.76,27.0
67,Indonésie,25.0,2.42,1.0,2301.0,2948.0,10935.6,-0.5,25.0
68,Iran (République islamique d'),96.0,9.8,6.0,2174.0,3042.0,15883.4,-0.93,23.0
69,Iraq,52.0,5.37,470.0,96.0,2580.0,10526.4,-2.31,60.0
70,Irlande,100.0,11.6,99.0,110.0,3817.0,77749.2,1.0,26.0
71,Islande,104.0,12.33,2.0,10.0,3615.0,55638.5,1.35,19.0
72,Israël,234.0,27.87,0.0,629.0,3550.0,39121.3,-0.89,39.0
73,Italie,65.0,7.83,97.0,1315.0,3471.0,41581.1,0.31,7.0
74,Jamaïque,178.0,15.71,31.0,128.0,2735.0,9600.1,0.31,10.0
75,Japon,67.0,7.24,1069.0,2215.0,2687.0,41444.2,1.11,-0.0
76,Jordanie,98.0,10.1,64.0,210.0,2709.0,10003.6,-0.45,91.0
77,Kazakhstan,61.0,6.18,174.0,171.0,3258.0,24863.0,0.03,21.0
78,Kenya,2.0,0.23,0.0,35.0,2151.0,4203.6,-1.13,57.0
79,Kirghizistan,11.0,1.08,25.0,7.0,2699.0,5046.7,-0.38,26.0
80,Kiribati,63.0,6.65,1.0,1.0,3084.0,2069.1,0.88,36.0
81,Koweït,156.0,15.87,137.0,56.0,3443.0,50855.6,-0.05,98.0
82,Lesotho,27.0,2.72,15.0,2.0,2196.0,2668.3,-0.19,3.0
83,Lettonie,72.0,7.22,43.0,33.0,3222.0,28673.6,0.46,-18.0
84,Liban,38.0,3.9,13.0,64.0,2887.0,15953.7,-1.63,77.0
85,Libéria,36.0,3.74,48.0,15.0,2190.0,1564.2,-0.33,65.0
